time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-16 00:00:00+00:00,1.0,1.0,70,5
2024-02-17 00:00:00+00:00,1.0,1.0,5,3
2024-02-18 00:00:00+00:00,1.0,1.0,1,1
2024-02-19 00:00:00+00:00,2.0,2.0,8,2
2024-02-20 00:00:00+00:00,1.0,1.0,33,8
2024-02-21 00:00:00+00:00,1.0,1.0,19,3
2024-02-22 00:00:00+00:00,1.0,1.0,22,4
2024-02-23 00:00:00+00:00,1.0,1.0,4,1
2024-02-24 00:00:00+00:00,1.0,1.0,1,1
2024-02-25 00:00:00+00:00,1.0,1.0,6,2
2024-02-26 00:00:00+00:00,2.0,2.0,26,4
2024-02-27 00:00:00+00:00,1.0,1.0,17,1
2024-02-28 00:00:00+00:00,1.0,1.0,12,3
2024-02-29 00:00:00+00:00,,,12,5
