time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-28 00:00:00+00:00,2,2,17,5
2025-07-29 00:00:00+00:00,1,1,14,4
2025-07-30 00:00:00+00:00,1,1,10,6
2025-07-31 00:00:00+00:00,5,5,18,6
2025-08-01 00:00:00+00:00,2,2,11,4
2025-08-02 00:00:00+00:00,1,1,4,1
2025-08-03 00:00:00+00:00,1,1,5,2
2025-08-04 00:00:00+00:00,6,6,9,4
2025-08-05 00:00:00+00:00,1,1,5,4
2025-08-06 00:00:00+00:00,2,2,6,4
2025-08-07 00:00:00+00:00,3,3,1,1
2025-08-08 00:00:00+00:00,1,1,13,5
2025-08-09 00:00:00+00:00,4,4,2,2
2025-08-10 00:00:00+00:00,1,1,4,3
