time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-18 00:00:00+00:00,5,4,6,4
2026-08-19 00:00:00+00:00,11,5,2,2
2026-08-20 00:00:00+00:00,2,2,11,6
2026-08-21 00:00:00+00:00,3,3,0,0
2026-08-22 00:00:00+00:00,2,2,1,1
2026-08-23 00:00:00+00:00,8,3,0,0
2026-08-24 00:00:00+00:00,1,1,2,2
2026-08-25 00:00:00+00:00,2,2,4,4
2026-08-26 00:00:00+00:00,1,1,3,2
2026-08-27 00:00:00+00:00,1,1,3,2
2026-08-28 00:00:00+00:00,8,7,5,2
2026-08-29 00:00:00+00:00,37,19,2,2
2026-08-30 00:00:00+00:00,9,8,0,0
2026-08-31 00:00:00+00:00,6,6,3,2
