time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-27 00:00:00+00:00,2,2,6,3
2024-01-28 00:00:00+00:00,1,1,19,2
2024-01-29 00:00:00+00:00,3,3,48,6
2024-01-30 00:00:00+00:00,2,2,34,4
2024-01-31 00:00:00+00:00,1,1,8,4
2024-02-01 00:00:00+00:00,1,1,51,5
2024-02-02 00:00:00+00:00,1,1,21,6
2024-02-03 00:00:00+00:00,1,1,13,2
2024-02-04 00:00:00+00:00,1,1,31,6
2024-02-05 00:00:00+00:00,2,2,45,8
2024-02-06 00:00:00+00:00,3,3,94,7
2024-02-07 00:00:00+00:00,3,2,13,4
2024-02-08 00:00:00+00:00,3,3,10,3
2024-02-09 00:00:00+00:00,1,1,13,2
