time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-14 00:00:00+00:00,,,2,2
2024-07-15 00:00:00+00:00,4.0,1.0,19,4
2024-07-16 00:00:00+00:00,,,10,6
2024-07-17 00:00:00+00:00,,,28,4
2024-07-18 00:00:00+00:00,1.0,1.0,23,6
2024-07-19 00:00:00+00:00,,,19,6
2024-07-20 00:00:00+00:00,6.0,3.0,3,2
2024-07-21 00:00:00+00:00,1.0,1.0,4,1
2024-07-22 00:00:00+00:00,,,12,3
2024-07-23 00:00:00+00:00,,,16,5
2024-07-24 00:00:00+00:00,3.0,1.0,11,6
2024-07-25 00:00:00+00:00,,,43,5
2024-07-26 00:00:00+00:00,1.0,1.0,19,5
2024-07-27 00:00:00+00:00,,,2,1
