time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-18 00:00:00+00:00,1,1,9,6
2025-02-19 00:00:00+00:00,1,1,12,6
2025-02-20 00:00:00+00:00,3,2,11,3
2025-02-21 00:00:00+00:00,5,3,7,3
2025-02-22 00:00:00+00:00,5,2,2,1
2025-02-23 00:00:00+00:00,5,2,4,1
2025-02-24 00:00:00+00:00,3,2,14,4
2025-02-25 00:00:00+00:00,4,2,15,4
2025-02-26 00:00:00+00:00,3,2,11,5
2025-02-27 00:00:00+00:00,2,2,45,3
2025-02-28 00:00:00+00:00,5,2,30,4
2025-03-01 00:00:00+00:00,4,2,7,1
2025-03-02 00:00:00+00:00,4,2,2,1
2025-03-03 00:00:00+00:00,1,1,51,6
