time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-05 00:00:00+00:00,,,1,1
2024-10-06 00:00:00+00:00,1.0,1.0,1,1
2024-10-07 00:00:00+00:00,1.0,1.0,30,7
2024-10-08 00:00:00+00:00,1.0,1.0,97,12
2024-10-09 00:00:00+00:00,,,88,9
2024-10-10 00:00:00+00:00,,,15,8
2024-10-11 00:00:00+00:00,,,29,8
2024-10-12 00:00:00+00:00,,,6,4
2024-10-13 00:00:00+00:00,,,4,2
2024-10-14 00:00:00+00:00,,,21,7
2024-10-15 00:00:00+00:00,,,10,4
2024-10-16 00:00:00+00:00,1.0,1.0,12,6
2024-10-17 00:00:00+00:00,3.0,3.0,25,3
2024-10-18 00:00:00+00:00,,,37,8
