time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-12 00:00:00+00:00,2,2,31,3
2023-09-13 00:00:00+00:00,6,3,16,3
2023-09-14 00:00:00+00:00,4,2,10,2
2023-09-15 00:00:00+00:00,1,1,10,3
2023-09-16 00:00:00+00:00,3,2,11,2
2023-09-17 00:00:00+00:00,1,1,8,2
2023-09-18 00:00:00+00:00,2,2,17,6
2023-09-19 00:00:00+00:00,1,1,12,3
2023-09-20 00:00:00+00:00,1,1,19,3
2023-09-21 00:00:00+00:00,1,1,4,3
2023-09-22 00:00:00+00:00,4,2,12,4
2023-09-23 00:00:00+00:00,1,1,1,1
2023-09-24 00:00:00+00:00,1,1,2,1
2023-09-25 00:00:00+00:00,1,1,11,1
