time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-24 00:00:00+00:00,1.0,1.0,1,1
2024-02-25 00:00:00+00:00,1.0,1.0,6,2
2024-02-26 00:00:00+00:00,2.0,2.0,26,4
2024-02-27 00:00:00+00:00,1.0,1.0,17,1
2024-02-28 00:00:00+00:00,1.0,1.0,12,3
2024-02-29 00:00:00+00:00,1.0,1.0,12,5
2024-03-01 00:00:00+00:00,4.0,3.0,182,7
2024-03-02 00:00:00+00:00,1.0,1.0,49,6
2024-03-03 00:00:00+00:00,1.0,1.0,25,4
2024-03-04 00:00:00+00:00,2.0,2.0,33,8
2024-03-05 00:00:00+00:00,3.0,3.0,97,14
2024-03-06 00:00:00+00:00,2.0,2.0,85,6
2024-03-07 00:00:00+00:00,1.0,1.0,75,7
2024-03-08 00:00:00+00:00,,,88,13
