time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-29 00:00:00+00:00,2,2,90,9
2023-07-30 00:00:00+00:00,1,1,34,5
2023-07-31 00:00:00+00:00,13,5,252,8
2023-08-01 00:00:00+00:00,4,3,103,11
2023-08-02 00:00:00+00:00,8,4,334,15
2023-08-03 00:00:00+00:00,1,1,51,10
2023-08-04 00:00:00+00:00,2,2,65,8
2023-08-05 00:00:00+00:00,3,3,8,2
2023-08-06 00:00:00+00:00,2,2,6,2
2023-08-07 00:00:00+00:00,3,3,48,8
2023-08-08 00:00:00+00:00,2,2,70,7
2023-08-09 00:00:00+00:00,1,1,98,5
2023-08-10 00:00:00+00:00,1,1,156,11
2023-08-11 00:00:00+00:00,1,1,96,9
