time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-13 00:00:00+00:00,25,9,3,2
2026-02-14 00:00:00+00:00,7,3,1,1
2026-02-15 00:00:00+00:00,17,9,1,1
2026-02-16 00:00:00+00:00,14,10,1,1
2026-02-17 00:00:00+00:00,4,4,19,3
2026-02-18 00:00:00+00:00,2,2,7,4
2026-02-19 00:00:00+00:00,17,9,8,8
2026-02-20 00:00:00+00:00,6,2,9,4
2026-02-21 00:00:00+00:00,18,10,1,1
2026-02-22 00:00:00+00:00,16,8,4,3
2026-02-23 00:00:00+00:00,13,9,11,5
2026-02-24 00:00:00+00:00,7,3,11,4
2026-02-25 00:00:00+00:00,10,6,1,1
2026-02-26 00:00:00+00:00,8,4,11,5
